,MLP,MLP2,MLP3,LSTM,GRU,RNN,TransAm
000628,1.4508,0.9417,1.1588,1.0394,1.1644,0.6835,1.0901
000629,0.5486,0.4096,0.426,0.3844,0.4366,1.1004,0.4176
000635,0.6952,1.1812,1.6144,0.8052,1.4224,1.0143,0.9393
000659,0.8505,0.217,1.8897,0.4895,0.4528,0.4441,0.7087
000663,0.4952,0.7131,1.229,1.0035,2.1932,0.4209,0.8435
000665,0.2677,0.739,0.6177,0.5293,0.6132,0.5959,0.6488
000666,0.5375,0.7566,0.4609,1.2045,1.0158,0.9782,1.0205
000670,1.2825,0.5571,0.5992,0.6865,0.9917,1.5943,0.9436
000679,0.3933,0.5041,0.7397,0.9912,2.4058,0.6858,0.9395
000680,0.2319,0.3446,0.6245,0.5794,0.6192,0.5239,0.5792
