,MLP,MLP2,MLP3,LSTM,GRU,RNN,TransAm
000628,3.1529,1.2412,1.8265,1.4957,2.133,0.7289,1.6715
000629,0.3586,0.3023,0.3033,0.2584,0.3403,1.5274,0.3756
000635,0.6503,1.9294,3.7855,0.9404,2.3544,1.4143,1.1504
000659,0.8204,0.0846,4.2222,0.4088,0.3036,0.3379,0.7687
000663,0.3794,0.7391,2.6668,2.9038,6.952,0.29,1.0408
000665,0.1433,0.8483,0.6933,0.5057,0.6948,0.573,0.6056
000666,0.4343,0.7724,0.2991,2.0316,1.457,1.3245,1.4539
000670,1.7711,0.4684,0.5354,0.7111,1.5298,3.7501,1.2587
000679,0.339,0.4487,0.8462,2.1199,6.9555,1.8317,2.087
000680,0.1056,0.1795,0.4978,0.5338,0.7156,0.4548,0.5373
