,MLP,MLP2,MLP3,LSTM,GRU,RNN,TransAm
000628,0.6988,0.8814,0.8255,0.8571,0.7962,0.9304,0.8403
000629,0.3312,0.4361,0.4343,0.5181,0.3652,-1.849,0.2994
000635,0.9495,0.8503,0.7063,0.927,0.8173,0.8903,0.9107
000659,0.7454,0.9738,-0.3101,0.8732,0.9058,0.8952,0.7615
000663,0.9638,0.9295,0.7455,0.7229,0.3366,0.9723,0.9007
000665,0.9885,0.9319,0.9444,0.9594,0.9442,0.954,0.9514
000666,0.8522,0.7372,0.8982,0.3088,0.5042,0.5493,0.5053
000670,0.7568,0.9357,0.9265,0.9024,0.79,0.4851,0.8272
000679,0.9774,0.97,0.9435,0.8585,0.5356,0.8777,0.8607
000680,0.9773,0.9615,0.8932,0.8855,0.8465,0.9025,0.8848
