ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000666.SZ,20230818,8.34,8.38,8.14,8.15,8.37,-0.22,-2.6284,152320.26,125657.178
000666.SZ,20230817,8.35,8.44,8.26,8.37,8.42,-0.05,-0.5938,127101.0,106013.077
000666.SZ,20230816,8.43,8.49,8.25,8.42,8.51,-0.09,-1.0576,174731.02,146272.12
000666.SZ,20230815,8.96,8.96,8.43,8.51,8.95,-0.44,-4.9162,360518.47,310346.183
000666.SZ,20230814,8.95,9.21,8.95,8.95,9.94,-0.99,-9.9598,231670.0,207519.561
000666.SZ,20230811,9.67,10.37,9.39,9.94,9.7,0.24,2.4742,366129.86,363699.292
000666.SZ,20230810,9.69,9.71,9.54,9.7,9.67,0.03,0.3102,65497.0,63103.108
000666.SZ,20230809,9.89,9.89,9.63,9.67,9.86,-0.19,-1.927,72039.0,70073.303
000666.SZ,20230808,10.03,10.03,9.73,9.86,10.03,-0.17,-1.6949,100839.0,99025.341
000666.SZ,20230807,9.95,10.18,9.88,10.03,10.15,-0.12,-1.1823,128088.56,128579.271
000666.SZ,20230804,10.15,10.35,10.11,10.15,10.05,0.1,0.995,232304.0,237481.149
000666.SZ,20230803,9.8,10.08,9.8,10.05,9.9,0.15,1.5152,145628.19,145219.013
000666.SZ,20230802,9.83,10.01,9.81,9.9,9.85,0.05,0.5076,81523.01,80824.081
000666.SZ,20230801,9.83,9.98,9.8,9.85,9.91,-0.06,-0.6054,85802.15,84725.906
000666.SZ,20230731,9.89,10.09,9.88,9.91,9.88,0.03,0.3036,168902.24,168419.488
000666.SZ,20230728,9.56,9.9,9.52,9.88,9.58,0.3,3.1315,132674.0,130004.353
000666.SZ,20230727,9.65,9.69,9.56,9.58,9.65,-0.07,-0.7254,41040.0,39523.693
000666.SZ,20230726,9.6,9.73,9.56,9.65,9.68,-0.03,-0.3099,59453.06,57155.626
000666.SZ,20230725,9.4,9.69,9.4,9.68,9.34,0.34,3.6403,112478.12,107716.0
000666.SZ,20230724,9.28,9.35,9.26,9.34,9.3,0.04,0.4301,38554.1,35891.22
000666.SZ,20230721,9.35,9.4,9.28,9.3,9.34,-0.04,-0.4283,50277.0,46909.378
000666.SZ,20230720,9.57,9.57,9.31,9.34,9.52,-0.18,-1.8908,51899.0,48983.289
000666.SZ,20230719,9.52,9.58,9.46,9.52,9.51,0.01,0.1052,31598.12,30087.52
000666.SZ,20230718,9.55,9.62,9.44,9.51,9.51,0.0,0.0,52915.01,50500.978
000666.SZ,20230717,9.6,9.61,9.43,9.51,9.69,-0.18,-1.8576,64420.21,61267.283
000666.SZ,20230714,9.72,9.93,9.65,9.75,9.72,0.03,0.3086,78577.77,76623.572
000666.SZ,20230713,9.67,9.79,9.65,9.72,9.64,0.08,0.8299,67970.61,66152.514
000666.SZ,20230712,9.65,9.68,9.62,9.64,9.66,-0.02,-0.207,47917.91,46237.976
000666.SZ,20230711,9.67,9.7,9.58,9.66,9.67,-0.01,-0.1034,51978.0,50081.33
000666.SZ,20230710,9.74,9.75,9.63,9.67,9.69,-0.02,-0.2064,60833.45,58877.821
