open,prediction
5.51,6.267018
5.54,6.273438
5.6,6.2083216
5.6,6.3138447
5.72,6.4229045
5.69,6.0447574
5.75,6.288439
5.72,6.2877016
5.71,6.4439588
5.65,6.232339
5.66,6.269172
5.76,6.1489434
5.76,6.111067
5.72,6.187384
5.76,6.158655
5.69,5.9780345
5.8,5.718907
5.71,6.0199966
5.57,5.903665
5.48,5.9835567
5.55,6.059803
5.51,6.005913
5.54,6.334348
5.56,6.2849107
5.53,5.897048
5.52,5.9249315
5.57,6.093952
5.59,5.927004
5.55,6.0867176
5.56,6.069738
5.61,6.002455
5.62,6.0241165
5.63,6.071705
5.6,6.18532
5.56,6.320342
5.52,5.964268
5.6,6.2040176
5.43,6.0331287
5.58,6.156647
5.81,6.400696
5.91,6.202684
6.02,6.316786
6.0,6.224207
6.1,6.278598
6.39,6.155303
5.8,6.336973
5.7,6.1616354
5.7,6.013426
5.7,5.9892335
5.59,5.868328
5.72,6.0063405
5.68,5.7883744
5.73,5.701113
5.54,6.1292233
5.48,5.897828
5.45,5.7653413
5.47,5.9817066
5.43,6.0806794
5.58,6.0827355
5.56,5.847087
5.59,6.3444934
5.68,6.206828
5.96,6.237064
5.69,6.253189
5.67,6.232966
5.87,6.383571
5.95,6.2042203
6.21,6.126846
6.0,6.1137257
5.98,6.07278
6.05,6.261812
6.02,6.0507483
6.16,6.3849707
5.78,5.964587
5.58,6.2685933
5.65,6.166119
5.65,6.2466135
5.75,6.3462195
5.65,6.479694
5.91,6.485823
6.05,6.4873977
6.02,6.5766244
6.16,6.665085
6.41,6.641114
6.61,6.7101197
6.56,6.5876484
6.4,6.6090784
6.39,6.753012
6.54,6.902785
6.49,6.913263
6.67,6.895057
6.82,6.6309915
6.66,6.758996
6.63,6.932104
6.86,6.905855
6.82,6.745654
6.85,6.8962255
6.88,6.748959
6.77,6.6194663
6.8,6.7196774
6.76,6.8268504
6.62,6.8031683
6.66,6.512238
6.51,6.528141
6.6,6.8539777
6.7,6.6255474
6.65,6.8499737
6.53,6.7052803
6.7,6.546697
6.8,6.841456
6.42,6.564935
6.66,6.623903
6.69,6.6050563
6.69,6.8964577
6.62,6.815227
6.46,6.840977
6.4,6.8831687
6.42,6.645018
6.45,6.7680116
6.62,6.9484353
6.57,6.781648
6.7,6.873881
6.55,6.9067273
6.65,6.6077824
6.96,6.708701
6.78,6.811033
6.81,6.87599
6.87,7.0180187
6.78,6.7037983
6.68,6.7323146
6.82,6.718538
6.8,6.6931944
6.87,6.7236915
6.7,6.6889143
6.6,6.5785656
6.41,6.7100277
6.4,6.5639586
6.35,6.603043
6.3,6.8214793
6.51,6.590126
6.56,6.9378977
6.68,6.7624364
6.77,6.9788623
6.6,7.053884
6.55,6.9628344
6.75,6.9771423
6.66,6.7185802
6.71,6.718671
7.19,7.2007394
7.08,6.976695
7.2,6.6452923
6.54,6.5635457
6.44,6.420525
6.49,6.489576
6.4,6.4490304
6.37,6.4049654
6.39,6.4818163
5.88,6.4960217
5.95,6.1645465
6.01,6.414713
6.04,6.3787003
6.18,6.372523
6.15,6.415862
6.28,6.481048
6.16,6.6577425
6.2,6.542556
6.19,6.766663
6.29,6.6741314
6.43,6.8172555
6.42,6.6585793
6.64,6.8616557
6.62,6.697231
6.52,6.748136
6.61,6.7933908
6.62,6.704806
6.56,6.879817
6.41,7.027881
6.54,6.947966
6.58,7.236973
6.77,7.048349
6.88,7.1039076
7.11,7.149183
7.2,7.441549
7.42,7.3361278
7.12,7.279414
7.07,7.1231613
7.11,6.6145024
7.47,6.606464
7.3,6.840806
7.43,6.4839187
6.94,6.276815
6.05,6.0363965
5.97,6.11633
6.37,6.220935
6.35,5.8918247
5.56,6.128304
5.41,6.0939426
5.63,6.026334
5.6,6.229329
5.57,5.927313
5.68,6.212123
5.73,5.976851
5.8,6.2011137
5.75,6.074197
5.84,5.894212
5.97,5.890128
5.76,5.9288645
5.79,6.005635
5.65,5.5221043
5.45,6.300137
5.38,5.7630515
5.54,6.0858436
5.46,6.188381
5.62,6.220745
5.86,6.0098147
5.7,6.125536
5.75,6.178241
6.04,6.545776
6.1,6.6169424
6.06,6.335822
6.04,6.2224092
6.0,6.40162
6.15,6.4327917
6.3,6.6434493
6.39,6.690272
6.43,6.7899523
6.36,6.259526
6.52,6.731766
6.57,6.7774568
6.54,6.702602
6.7,6.461615
6.66,6.85533
6.81,6.870289
6.78,6.55388
6.78,6.816836
6.7,6.783572
6.83,6.971644
6.89,7.1200047
7.06,7.241773
7.08,7.134547
7.05,7.0401697
7.04,7.0531483
7.23,7.0654902
7.25,6.8245006
7.12,7.275072
7.21,6.902399
7.08,6.8691893
7.05,7.009984
7.14,7.0330887
7.08,7.2464905
7.08,7.340506
6.9,7.186233
6.78,7.215581
6.65,7.122428
7.17,7.5316486
7.28,7.2950807
7.37,7.330943
7.42,7.442356
7.5,7.682783
7.48,7.228507
7.49,7.255297
7.65,7.658266
7.67,7.7220545
7.77,7.5037155
7.31,7.529344
7.12,7.468901
7.44,7.6348796
7.54,7.571102
7.5,7.7066
7.72,7.7519
7.84,8.078201
7.77,7.8730307
7.9,8.09873
7.9,8.142376
8.06,8.250917
8.14,8.262984
8.42,8.266631
8.42,8.413377
8.66,8.357857
8.59,8.372616
8.55,8.474723
8.49,8.34805
8.41,8.046591
8.9,8.054722
8.52,8.405741
8.54,8.273935
8.88,8.40517
8.36,8.166674
8.24,8.399489
8.46,8.60131
8.5,8.147509
8.52,8.936767
8.6,8.472509
8.97,8.67724
9.15,8.441887
8.89,8.751077
9.41,8.708526
9.18,8.881639
8.85,8.120051
8.75,8.3338175
9.1,8.262983
8.97,8.166229
8.7,8.574109
8.16,8.2109165
8.39,8.323163
8.27,8.146172
8.17,8.251408
8.85,8.346497
9.0,8.039366
8.39,7.718383
8.64,7.9252744
8.6,7.552799
8.35,7.3661523
8.17,7.4119835
8.04,7.2908115
7.56,6.795897
7.65,7.1437683
7.0,7.927517
7.5,8.020351
6.9,8.09621
6.79,7.402485
7.62,7.7312207
8.9,8.152021
8.78,8.181793
8.89,8.279562
7.8,7.883365
7.63,8.177476
8.45,8.3309555
8.1,9.031099
8.57,8.626643
8.73,8.707538
8.6,8.461318
9.35,8.855632
10.05,9.297046
10.07,8.427851
9.28,8.023681
8.86,7.5388165
8.96,7.85729
9.56,7.8930616
8.25,6.829362
7.18,6.7806835
7.38,6.7672935
7.39,6.419728
6.5,6.521637
6.4,6.56933
6.22,6.397182
6.31,6.5514274
6.06,6.721902
6.31,6.591628
6.39,7.1327753
6.21,6.787197
6.5,6.5506067
6.44,6.9396043
6.91,7.144802
7.19,7.263328
6.98,7.352614
7.3,7.620538
7.23,7.3858256
7.28,7.7644224
7.24,7.734538
7.49,7.7775087
8.06,8.039931
7.84,8.128874
8.26,7.872468
8.13,8.3104925
7.93,8.58059
8.6,8.163269
8.74,7.7109046
8.85,7.87333
8.88,8.104679
9.0,8.427475
8.35,7.8611774
7.51,8.512365
7.29,8.936096
7.41,9.438342
7.85,9.840193
8.24,10.189264
8.92,9.368306
10.11,10.17793
10.88,10.514308
12.06,10.514463
11.61,11.285884
9.51,9.509401
10.76,8.989011
9.6,8.091665
9.55,8.52679
10.99,8.49219
8.6,8.444497
8.58,7.1482625
6.92,6.6374497
7.17,6.534263
7.9,7.0120983
7.17,6.919264
6.37,7.241468
5.88,6.6693335
5.65,6.495912
6.0,7.06324
6.47,7.203039
8.1,6.965069
6.67,6.766335
6.29,6.13224
7.12,5.953373
6.44,5.574436
6.39,5.270086
5.81,4.977235
5.28,4.8582354
4.8,4.664272
4.14,4.741991
3.63,4.815272
3.46,4.543438
3.46,4.7010245
3.47,4.729796
3.52,4.6518984
3.56,4.5925813
3.54,4.5712113
3.6,4.446911
3.57,4.674503
3.56,4.581419
3.52,4.691252
3.62,4.572059
3.71,4.6910353
3.67,4.6317177
3.64,4.525644
3.65,4.5012717
3.62,4.379904
3.72,4.4348807
3.79,4.454706
3.53,4.5499167
3.44,4.319608
3.4,4.3413568
3.34,4.720512
3.34,4.4003377
3.34,4.4862733
3.34,4.3852253
3.26,4.266374
3.28,4.225739
3.2,4.405069
3.28,4.399872
3.3,4.613088
3.26,4.6892266
3.27,4.4078865
3.35,4.3712783
3.38,4.344289
3.43,4.5225415
3.44,4.651491
3.48,4.5959916
3.46,4.376429
3.5,4.653783
3.5,4.5234094
3.63,4.7928686
3.72,4.5153294
3.7,4.5788517
3.74,4.5500884
3.76,4.684783
3.66,4.6242743
3.59,4.4839725
3.63,4.6382713
3.62,4.743573
3.73,4.623719
3.83,4.7631927
3.78,5.1172934
3.72,4.662587
3.78,4.6807747
3.83,4.769932
3.8,4.727854
3.9,4.5988336
3.87,4.653197
3.91,4.7232895
3.9,4.809491
3.81,4.829807
3.77,4.4982767
3.77,4.5671477
3.77,4.58308
3.75,4.7948265
3.7,4.553274
3.66,4.6571155
3.65,4.593306
3.7,4.477475
3.66,5.0667715
3.61,4.6280355
3.61,4.715623
3.62,4.67636
3.63,4.6664267
3.58,4.5097976
3.56,4.5725837
3.64,4.993427
3.61,4.396045
3.64,4.4995203
3.61,4.389814
3.61,4.6291647
3.58,4.5377603
3.56,4.532916
3.58,4.611631
3.62,4.470315
3.67,4.6053095
3.65,4.4909053
3.62,4.5550513
3.58,4.5968475
3.58,4.6478953
3.6,4.865746
3.62,4.5608587
3.7,4.612014
3.75,4.6696506
3.74,4.672828
3.73,4.6108856
3.78,4.4911594
3.81,4.746949
3.8,4.752717
3.9,4.675982
3.95,4.7954106
3.94,4.667436
3.93,4.6388187
3.89,4.7251415
3.93,4.686502
3.92,4.8544393
3.95,4.793847
3.9,4.7690587
3.96,4.830307
4.01,4.760788
4.02,4.995784
4.05,5.0605927
4.08,4.8137155
4.0,4.736304
4.02,4.6954293
4.05,4.9661937
3.99,5.104645
4.0,4.851648
4.03,4.63949
4.09,4.9606543
4.26,4.8156586
4.97,4.852199
4.08,5.0446095
4.06,4.8638988
4.05,4.779006
3.97,4.7355967
3.98,4.81116
4.01,4.840988
4.0,4.7390795
4.04,4.801361
4.03,4.9565415
4.04,4.854431
4.1,4.8125973
4.1,4.7985415
4.11,4.62701
4.11,4.9161344
4.16,4.733155
4.26,5.0591154
4.25,4.789899
3.96,4.7353783
3.87,4.6387744
3.92,4.858866
3.86,4.6262064
3.87,4.693232
3.84,4.689596
3.82,4.685963
3.82,4.6502314
3.79,4.7377157
3.81,4.6904945
3.84,4.5152435
3.8,4.856838
3.84,4.8383884
3.89,4.8504205
3.88,4.721128
4.0,4.6875577
4.07,4.693517
4.13,4.871022
4.19,4.795877
4.1,4.863637
4.04,4.6788163
3.95,4.8367715
3.98,4.650219
3.92,4.5920343
3.95,4.6435466
3.9,4.6229014
3.92,4.5237417
3.92,4.6875443
3.89,4.75065
3.89,4.6499653
3.9,4.650599
3.8,4.6873083
3.85,4.6356874
3.87,4.7077985
3.88,4.690604
3.88,4.661781
3.87,4.671995
3.9,4.5777273
3.87,4.7463837
3.89,4.975923
3.91,4.7159266
3.94,4.712928
3.91,4.6154566
3.85,4.750168
3.83,4.708865
3.81,4.571229
3.86,4.929695
3.88,4.8245754
3.96,4.6365395
3.89,4.6935344
3.88,4.6721535
3.83,4.8113403
3.88,4.656408
3.8,4.661889
3.76,4.5853853
3.85,4.5348935
3.82,4.5954366
3.89,4.6179585
3.82,4.5974956
3.67,4.5598674
3.62,4.681306
3.59,4.74427
3.57,4.6472874
3.58,4.8159385
3.57,4.8429527
3.79,4.8174753
3.86,5.0434504
3.86,4.76039
3.82,4.9819403
4.3,5.0247965
4.26,5.0457997
4.28,5.1235075
4.28,5.1881576
4.33,5.2407613
4.45,5.2782936
4.49,5.0553827
4.57,5.215121
4.57,5.2013717
4.58,5.134766
4.56,5.0250406
4.31,5.17136
4.4,5.112165
4.53,5.01158
4.32,4.947814
4.26,4.9227037
4.35,5.027866
4.39,5.005738
4.45,4.987194
4.43,5.097847
4.36,5.075414
4.4,5.0974693
4.36,5.02518
4.42,5.193666
4.41,5.2905846
4.55,5.2385273
4.55,5.240459
4.67,5.3477635
4.65,5.356839
4.68,5.283054
4.66,5.2188134
4.73,5.518689
4.7,5.533095
4.71,5.695202
4.84,5.6716123
4.87,5.606994
4.97,5.638791
4.99,5.7248893
5.01,5.8496423
5.03,5.769503
5.03,5.6387706
5.03,5.600901
4.99,5.581557
5.0,5.537314
4.98,5.5681744
4.97,5.6395574
5.01,5.6869125
5.01,5.6714478
5.01,5.69924
5.0,5.6099877
5.02,5.897274
5.05,5.695148
5.08,5.7836823
4.99,5.6801834
4.96,5.853815
5.0,5.678759
5.04,5.7213035
5.08,5.8079257
5.04,5.8786244
5.12,5.8898706
5.08,5.885005
5.13,5.7876654
5.13,5.886291
5.19,5.729535
5.33,5.8101835
5.29,5.584941
5.29,5.676365
5.28,5.981976
5.16,5.7675247
5.17,5.573395
4.96,5.562777
4.98,5.6549044
5.0,5.5833817
5.01,5.5667024
4.96,5.5438538
5.02,5.5422235
5.11,5.7212853
5.12,5.4089146
5.0,5.6091933
4.95,5.6834
5.03,5.81063
5.05,5.855477
5.04,5.755451
5.06,5.786085
5.15,5.891444
5.14,5.888475
5.2,5.8312883
5.23,5.9302807
5.18,5.8959146
5.19,5.775515
5.22,6.134301
5.25,5.9172645
5.25,5.9098287
5.2,5.9130754
5.38,5.940422
5.35,5.999755
5.33,5.9879284
5.45,6.1803756
5.45,5.9079003
5.54,6.168628
5.54,5.888372
5.56,6.153152
5.62,6.136864
5.64,6.1796103
5.69,6.096607
5.55,6.1670933
5.68,6.275033
5.55,6.128764
5.56,6.100443
5.58,6.0048084
5.6,6.0235095
5.63,6.1681423
5.53,6.0425935
5.56,6.0752325
5.66,6.07179
5.6,6.055986
5.76,6.1431475
5.59,5.9192357
5.44,5.8814635
5.47,5.980563
5.47,5.8912044
5.51,5.9140124
5.4,5.834264
5.35,5.861605
5.4,6.02713
5.3,5.971971
5.27,6.1451135
5.25,5.739048
5.45,5.9851823
5.5,6.1088476
5.54,6.365365
5.82,6.302636
5.35,6.112985
5.5,6.33545
5.76,6.2426596
6.03,6.2780256
5.95,6.2605867
5.8,6.049821
5.78,5.9251657
5.78,5.8864527
5.64,5.8728
5.67,5.9002285
5.42,5.836643
5.32,5.9524746
5.17,5.94787
5.21,5.972991
5.23,6.0150537
5.4,6.175677
5.55,6.210013
5.44,6.036794
5.49,6.0011783
5.49,6.001248
5.56,5.9903455
5.48,5.986133
5.43,6.1210265
5.36,6.229497
5.36,6.1405
5.58,6.187775
5.6,6.281129
5.61,6.465032
5.84,6.4236283
5.68,6.3108106
5.81,6.3760104
5.77,6.3358097
6.16,6.2815237
5.95,6.1505265
5.71,6.186753
5.4,5.7078886
5.38,5.611663
5.36,5.7212043
5.56,5.771685
5.5,5.6128817
5.02,5.6241493
5.05,5.578509
5.02,5.694697
5.1,5.666403
5.04,5.713672
4.91,5.680839
4.95,5.8244824
5.0,5.478513
5.09,5.6607213
5.05,5.902933
5.13,5.784933
4.98,5.771289
4.97,5.837613
4.92,6.0517106
5.2,5.9317446
5.23,5.9874454
5.38,6.1634464
5.53,5.9782743
5.53,6.182654
5.57,6.1410637
5.55,6.28429
5.61,6.377663
5.52,6.3140855
5.62,6.199923
5.61,6.2597256
5.71,6.148663
5.93,6.0875998
5.82,6.026232
5.67,6.349002
5.56,6.2297473
5.55,6.163399
5.36,6.288166
5.39,6.348989
5.63,6.2903767
5.61,6.341482
5.86,6.3358684
5.8,6.323296
5.87,6.53312
5.62,6.403881
5.6,6.6272225
5.83,6.530515
5.65,6.8370914
5.86,7.0843015
5.87,6.56481
6.43,7.0826306
6.13,7.3954062
6.41,7.4668794
6.85,7.4751425
6.25,7.6185923
6.85,7.1671576
7.04,7.3175125
7.24,7.493096
7.2,7.7788396
7.31,7.639361
6.74,7.3824706
6.71,7.361379
6.82,7.5490327
7.5,7.3102546
7.05,7.564259
7.18,7.0019197
6.77,6.8853903
6.9,7.0654674
6.97,6.9557815
7.1,6.7033772
6.23,6.6093483
6.0,6.1437225
6.11,5.7401567
6.0,5.8024735
5.7,5.4970975
5.95,5.284808
4.92,5.6705456
4.6,5.6090155
4.51,5.6874366
4.17,5.8767433
4.55,5.9254694
5.26,6.1464934
5.25,6.2081823
5.46,6.111742
5.52,6.1301513
5.51,6.1926646
5.63,6.134013
5.6,6.2595887
5.4,6.140388
5.38,6.030208
5.53,6.11839
5.55,6.096187
5.7,5.971872
5.44,6.1161146
5.39,5.984653
5.45,6.221438
5.38,6.093889
5.31,6.052508
5.32,6.0326676
5.39,6.1606984
5.32,5.9215765
5.29,5.918123
5.3,5.803886
5.3,5.732687
5.44,5.7523937
5.63,5.786305
5.15,5.737681
5.03,5.675389
4.97,5.8397484
4.97,5.727514
4.98,5.795151
5.0,5.758905
4.92,5.5332856
4.89,5.67694
4.86,5.5489693
4.83,5.626346
4.82,5.677426
4.85,5.743333
4.96,5.7547665
4.91,5.8323536
4.94,5.6823897
4.93,5.799265
4.85,5.6709895
4.84,5.5393395
4.85,5.7051
4.82,5.640227
4.89,5.4676113
4.78,5.668384
4.73,5.91227
4.83,5.5220537
4.81,5.4964724
4.84,5.6867533
4.87,5.789354
4.97,5.6683044
5.04,5.6515775
4.98,5.847442
5.07,5.961936
5.07,5.939462
5.07,6.0469384
5.01,5.9996743
5.17,5.9519725
5.29,5.9654684
5.42,6.002709
5.32,5.8898106
5.25,6.047862
5.25,6.237843
5.24,5.9744353
5.22,6.333052
5.27,6.44942
5.5,6.078124
5.48,6.19611
5.5,6.2261047
5.58,6.321915
5.4,6.2269187
5.36,6.1869416
5.34,6.320434
5.46,6.3277106
5.49,6.337332
5.48,6.4207907
5.41,6.5574007
5.55,6.295094
5.65,6.2130256
5.63,6.497229
5.69,6.5046124
5.6,6.3683705
5.58,6.5629807
5.59,6.66142
5.8,6.644475
5.83,6.3042936
5.9,6.5591993
5.94,6.4122906
6.04,6.152029
5.86,5.9802895
5.74,5.869868
5.73,6.220245
5.65,5.9973135
5.4,5.9748793
5.28,5.867656
5.41,5.9617133
5.36,6.288571
5.43,6.020404
5.38,6.242003
5.25,6.080267
5.37,6.0807104
5.45,5.7528696
5.48,5.8601856
5.64,5.9871206
5.51,5.8917274
5.3,5.7463903
4.8,5.6335235
4.93,5.627879
4.84,5.819483
4.85,5.7636256
4.99,5.734476
4.96,5.8731484
5.0,5.76815
5.05,5.9812536
5.2,5.9525323
5.2,5.9396067
5.26,5.7663193
5.3,5.861026
5.24,5.9414167
5.28,6.0197453
5.28,5.9660044
5.3,6.096941
5.22,6.1330347
5.17,6.2165446
5.45,6.466141
5.43,6.2898755
5.59,7.580725
5.63,7.71307
5.67,7.727265
5.63,8.5967245
5.64,8.563452
7.99,8.672821
8.06,8.560627
8.03,8.920627
8.4,8.999185
8.35,8.894501
8.35,9.137644
8.48,8.914209
8.55,9.028733
8.44,9.356013
8.57,8.969807
8.56,9.136869
8.49,9.144903
8.68,9.06365
8.74,9.06209
8.68,9.167744
8.53,9.406287
8.6,9.299498
8.46,8.881427
8.38,8.573091
8.6,9.006552
8.57,8.960962
8.48,9.0028715
8.3,8.820879
8.18,8.450872
8.59,8.706674
8.3,8.677758
8.47,8.991746
8.2,8.478165
8.12,8.644787
8.13,8.80364
8.13,8.968302
8.18,8.901001
7.93,8.724301
8.04,8.887808
8.31,9.039999
8.52,9.103652
8.51,8.874436
8.36,8.715816
8.77,9.195576
8.78,8.746283
8.49,8.727309
8.05,8.526351
8.19,8.956379
8.03,8.660543
7.91,9.003482
7.91,9.275943
7.98,9.229049
8.24,9.516969
8.4,9.560143
8.83,9.483838
8.87,9.855258
9.11,9.7216625
9.3,9.920251
9.22,9.815983
9.35,9.989645
9.28,9.855251
9.32,9.998657
9.33,10.125751
9.02,9.748024
9.19,10.08879
9.14,10.130059
9.27,10.114439
9.42,10.328853
9.39,9.984604
9.68,10.078328
9.68,10.20877
9.63,10.064506
9.85,10.459124
9.49,10.3454075
9.15,10.548101
9.36,10.5660925
9.47,10.641913
9.88,10.177414
10.14,10.224881
10.99,10.213845
10.13,10.230458
9.98,10.277164
9.27,10.02123
9.07,9.590526
8.96,9.932183
9.05,9.947905
9.62,10.197625
9.35,9.939069
8.84,9.4615555
9.3,9.452593
9.31,9.311612
9.3,9.432593
9.38,9.483068
8.95,9.314377
8.31,8.759747
8.3,8.799782
8.34,8.605723
8.43,8.517839
8.1,8.303013
7.8,8.245791
7.97,8.236635
7.73,8.084966
7.8,8.1608715
7.6,8.053695
7.55,7.9414763
7.44,7.764245
7.29,7.846183
7.26,8.068815
7.14,7.987657
7.01,7.951108
7.13,8.070795
7.28,8.147492
7.5,8.255958
7.56,8.112228
7.55,8.334884
7.55,8.0908985
7.57,8.126411
7.63,8.221781
7.61,8.283123
7.66,8.246119
7.7,8.261514
7.83,8.410937
7.73,8.362386
7.75,8.024709
7.76,8.161824
7.78,8.044462
7.7,7.841153
7.63,8.021864
7.36,7.9378805
7.12,7.685015
7.26,7.781474
7.26,7.8566265
7.2,7.9599547
7.48,7.9324784
7.23,7.905392
7.3,8.005674
7.19,8.1414585
7.17,8.474698
7.19,8.224432
7.28,8.350839
7.28,8.085728
7.32,8.054024
7.66,8.401573
7.7,8.523087
7.8,8.167382
7.5,8.372633
7.48,8.583552
7.64,8.558918
7.82,8.99834
7.82,8.282126
8.0,8.074181
7.9,8.049228
7.95,8.510697
8.67,8.261657
7.51,7.9795084
7.36,7.8601923
7.2,8.197294
7.55,8.067827
7.47,8.035799
7.4,7.960002
7.55,7.915665
7.63,7.9174733
7.51,7.7484465
7.4,7.58675
7.41,7.6817136
7.17,7.635667
7.0,7.3896465
6.94,7.500747
7.05,7.4061475
6.95,7.505903
6.92,7.3688045
6.86,7.366917
6.82,7.318239
6.73,7.463723
6.67,7.3040085
6.56,7.4338236
6.62,7.3402014
6.53,7.157138
6.45,7.299228
6.52,7.352398
6.77,7.3247747
6.54,7.117262
6.39,7.348462
6.52,7.582084
6.56,7.7014728
6.65,7.740154
6.71,7.7747064
6.68,8.142386
7.24,8.189554
7.38,8.356861
7.43,8.231534
7.55,8.203737
7.62,8.479537
7.73,8.267539
7.7,8.092887
7.68,8.090171
7.65,8.338895
7.68,8.149292
7.61,8.31651
7.53,8.206117
7.68,8.372823
7.73,8.374531
7.67,8.389096
7.62,8.417867
7.62,8.350087
7.88,8.471451
7.87,8.689507
7.87,8.838242
7.94,8.94162
