open,prediction
5.51,5.903057
5.54,5.940461
5.6,5.823006
5.6,5.8325925
5.72,5.841208
5.69,5.855284
5.75,5.9162836
5.72,5.7913303
5.71,5.8195105
5.65,6.0073056
5.66,5.847136
5.76,5.922746
5.76,5.838586
5.72,5.5878687
5.76,5.646532
5.69,5.788099
5.8,5.719438
5.71,5.7269955
5.57,5.735731
5.48,5.7110434
5.55,5.77234
5.51,5.763796
5.54,5.659297
5.56,5.6515408
5.53,5.8011284
5.52,5.964747
5.57,5.8994293
5.59,5.8556376
5.55,5.813504
5.56,5.708895
5.61,5.950947
5.62,5.7806025
5.63,5.651637
5.6,5.831407
5.56,5.896156
5.52,6.082527
5.6,6.0267725
5.43,6.263624
5.58,5.9147186
5.81,6.296742
5.91,5.917394
6.02,5.8810234
6.0,5.817392
6.1,5.778058
6.39,5.771241
5.8,5.7606835
5.7,5.793452
5.7,5.8513293
5.7,6.0227833
5.59,5.684352
5.72,5.6743193
5.68,5.6857
5.73,5.616392
5.54,5.682761
5.48,5.740819
5.45,5.705583
5.47,5.9107656
5.43,6.01574
5.58,5.8121777
5.56,5.734138
5.59,5.943071
5.68,5.947743
5.96,6.1846385
5.69,5.9828563
5.67,5.935145
5.87,6.0457177
5.95,6.026587
6.21,6.046662
6.0,5.8308687
5.98,5.8296266
6.05,5.768348
6.02,5.7558255
6.16,5.9736686
5.78,5.7830606
5.58,6.0416217
5.65,6.120617
5.65,6.017427
5.75,6.166975
5.65,6.4338756
5.91,6.4522643
6.05,6.4378204
6.02,6.249466
6.16,6.3265743
6.41,6.6553993
6.61,6.5115714
6.56,6.62991
6.4,6.6223965
6.39,6.447974
6.54,6.328037
6.49,6.981867
6.67,6.5235295
6.82,6.785353
6.66,6.8075423
6.63,6.5443945
6.86,6.9102836
6.82,6.802306
6.85,6.360188
6.88,6.476326
6.77,6.4434323
6.8,6.5210075
6.76,7.0236244
6.62,6.519903
6.66,6.391573
6.51,6.588337
6.6,6.6438003
6.7,6.2283087
6.65,6.6196885
6.53,6.560408
6.7,6.4002256
6.8,6.3138666
6.42,6.345313
6.66,6.389114
6.69,6.444749
6.69,6.4720006
6.62,6.4012046
6.46,6.4086123
6.4,6.5928903
6.42,6.3878984
6.45,6.538899
6.62,6.7879224
6.57,6.5696206
6.7,6.612987
6.55,6.6006365
6.65,6.7881002
6.96,6.2900076
6.78,6.77343
6.81,6.5561376
6.87,6.611068
6.78,6.528351
6.68,6.6639495
6.82,6.350999
6.8,6.573299
6.87,6.3846717
6.7,6.166851
6.6,6.346018
6.41,6.4078403
6.4,6.6384897
6.35,6.494532
6.3,6.262023
6.51,6.571595
6.56,6.525209
6.68,6.457029
6.77,6.533133
6.6,6.8770113
6.55,7.0308166
6.75,6.767837
6.66,6.27515
6.71,6.335551
7.19,6.4911904
7.08,6.3260098
7.2,6.3400326
6.54,6.2370334
6.44,6.0260005
6.49,6.1547647
6.4,6.041259
6.37,6.1455007
6.39,6.1749606
5.88,6.1074395
5.95,6.23055
6.01,6.045584
6.04,6.10376
6.18,6.173174
6.15,6.2120934
6.28,6.3236017
6.16,6.411183
6.2,6.6986327
6.19,6.4704328
6.29,6.3984075
6.43,6.410311
6.42,6.44131
6.64,6.3974423
6.62,6.345082
6.52,6.172752
6.61,6.537144
6.62,6.6254916
6.56,6.5258656
6.41,6.938733
6.54,6.785492
6.58,7.3144093
6.77,6.8065734
6.88,6.962845
7.11,6.8223157
7.2,7.2634087
7.42,7.1378736
7.12,7.27892
7.07,6.792799
7.11,6.1833344
7.47,6.0060043
7.3,6.3493614
7.43,6.3974147
6.94,5.781923
6.05,5.663736
5.97,5.772354
6.37,5.75366
6.35,5.619543
5.56,5.824415
5.41,5.800888
5.63,5.994494
5.6,5.829953
5.57,5.909702
5.68,5.9573436
5.73,5.8772507
5.8,5.862
5.75,5.744974
5.84,5.716183
5.97,5.758774
5.76,5.714379
5.79,5.6458435
5.65,5.847017
5.45,5.9839497
5.38,5.791287
5.54,5.7729244
5.46,6.275136
5.62,6.2501955
5.86,6.0489764
5.7,6.0271354
5.75,5.942863
6.04,6.126564
6.1,6.2212896
6.06,6.2387547
6.04,6.269332
6.0,6.2291436
6.15,6.266705
6.3,6.246213
6.39,6.313444
6.43,6.6424036
6.36,6.5209756
6.52,6.6307545
6.57,6.8655167
6.54,6.6526456
6.7,6.481899
6.66,6.5266013
6.81,6.7109494
6.78,7.0534883
6.78,6.8440223
6.7,7.009219
6.83,6.622685
6.89,6.9310217
7.06,6.984942
7.08,7.040778
7.05,7.076802
7.04,6.9640923
7.23,6.988232
7.25,6.829684
7.12,6.8533664
7.21,7.044489
7.08,6.9277234
7.05,6.4513516
7.14,6.545094
7.08,7.117197
7.08,6.9753637
6.9,7.0018806
6.78,7.0491395
6.65,7.3305287
7.17,7.444893
7.28,7.376996
7.37,7.4254284
7.42,7.410183
7.5,7.711673
7.48,7.012245
7.49,7.181777
7.65,7.303685
7.67,7.1769896
7.77,7.399722
7.31,7.3466554
7.12,8.211358
7.44,7.605939
7.54,8.110476
7.5,7.5909634
7.72,7.9528975
7.84,8.057103
7.77,8.780779
7.9,8.277543
7.9,9.069807
8.06,8.479811
8.14,8.501115
8.42,8.596525
8.42,8.855886
8.66,9.266748
8.59,8.955754
8.55,8.4721365
8.49,9.3420105
8.41,8.914518
8.9,8.628714
8.52,8.805478
8.54,8.910413
8.88,9.1886215
8.36,8.880201
8.24,9.040812
8.46,9.202618
8.5,9.443587
8.52,9.891182
8.6,9.518017
8.97,9.513266
9.15,9.660107
8.89,9.662254
9.41,9.3759985
9.18,8.796838
8.85,8.546559
8.75,9.256708
9.1,8.224148
8.97,8.627158
8.7,9.13813
8.16,9.2593975
8.39,8.349322
8.27,9.069945
8.17,8.826412
8.85,8.623129
9.0,8.099351
8.39,8.224413
8.64,7.832824
8.6,8.164802
8.35,7.1930704
8.17,7.5931196
8.04,7.1578603
7.56,7.3587866
7.65,7.5874677
7.0,8.845773
7.5,8.431223
6.9,8.629302
6.79,7.2996664
7.62,8.323163
8.9,8.990414
8.78,7.802925
8.89,8.317544
7.8,8.329988
7.63,8.287039
8.45,9.270535
8.1,10.44537
8.57,10.39578
8.73,9.558655
8.6,9.652513
9.35,9.656313
10.05,10.757183
10.07,8.830022
9.28,7.88647
8.86,7.5451283
8.96,7.973801
9.56,6.821191
8.25,6.830547
7.18,6.402372
7.38,6.4270205
7.39,6.281531
6.5,6.3258705
6.4,6.386265
6.22,6.136311
6.31,6.6620655
6.06,6.3550305
6.31,6.722576
6.39,7.0247836
6.21,6.5930333
6.5,6.868661
6.44,6.832513
6.91,7.087011
7.19,6.937049
6.98,7.2157564
7.3,7.769737
7.23,7.575856
7.28,7.7811513
7.24,7.790782
7.49,8.051094
8.06,8.742075
7.84,8.723734
8.26,9.074299
8.13,9.084757
7.93,9.57845
8.6,8.56668
8.74,8.146523
8.85,7.7055497
8.88,7.996268
9.0,7.8348026
8.35,8.175438
7.51,9.076993
7.29,10.581718
7.41,11.138974
7.85,12.898829
8.24,12.094857
8.92,10.389645
10.11,12.234129
10.88,10.5058365
12.06,10.977644
11.61,12.514529
9.51,9.460616
10.76,10.010503
9.6,7.633026
9.55,7.5479393
10.99,8.25448
8.6,7.3096457
8.58,6.347792
6.92,6.150089
7.17,5.8387074
7.9,5.9866867
7.17,6.40064
6.37,8.06111
5.88,6.321658
5.65,6.238859
6.0,7.008839
6.47,6.3788595
8.1,6.4615097
6.67,5.881673
6.29,5.622334
7.12,5.191913
6.44,4.878561
6.39,4.631938
5.81,4.484035
5.28,4.497705
4.8,4.3803267
4.14,4.4623065
3.63,4.4914417
3.46,4.459396
3.46,4.8864493
3.47,4.458558
3.52,4.519489
3.56,4.361118
3.54,4.4879875
3.6,4.497606
3.57,4.692364
3.56,4.5105968
3.52,4.5222144
3.62,4.462252
3.71,4.4532504
3.67,4.491361
3.64,4.459222
3.65,4.4350157
3.62,4.354498
3.72,4.359558
3.79,4.321746
3.53,4.3331795
3.44,4.3187256
3.4,4.2596645
3.34,4.3480287
3.34,4.3024945
3.34,4.315982
3.34,4.2768836
3.26,4.3254595
3.28,4.3157725
3.2,4.31845
3.28,4.3961277
3.3,4.396764
3.26,4.4042306
3.27,4.3120704
3.35,4.4259305
3.38,4.3823247
3.43,4.4604583
3.44,4.516271
3.48,4.5548253
3.46,4.4758487
3.5,4.6000385
3.5,4.5767465
3.63,4.538795
3.72,4.5109253
3.7,4.5383453
3.74,4.504415
3.76,4.574058
3.66,4.6170535
3.59,4.553511
3.63,4.5468225
