open,prediction
8.68,13.229781
8.75,13.220983
8.76,13.204276
8.78,13.218592
8.9,13.268865
8.87,13.353069
9.12,13.482652
8.99,13.492583
9.1,13.494912
9.19,13.556748
9.27,13.557841
9.36,13.555778
9.26,13.538661
9.17,13.470093
9.19,13.478034
9.24,13.396913
9.33,13.433007
9.25,13.380913
9.14,13.392991
9.12,13.296542
9.23,13.249377
9.27,13.073041
9.16,12.999419
9.03,13.121261
9.26,12.968612
9.31,12.889989
9.27,12.835552
9.29,12.981646
9.23,12.888583
9.2,12.796136
9.38,12.876466
9.44,12.964988
9.49,12.665618
9.44,12.521411
9.44,12.431855
9.6,12.553351
9.73,12.615979
8.58,12.435177
8.59,12.179146
8.6,12.19727
8.88,12.258924
8.75,12.309697
8.56,12.306463
8.52,12.324032
8.46,12.2641945
8.4,12.365502
8.29,12.350492
8.37,12.295884
8.35,12.340842
8.45,12.402554
8.72,12.429416
8.72,12.393603
8.5,12.429357
8.53,12.419422
8.54,12.467948
8.51,12.558299
8.68,12.676185
8.68,12.705441
8.81,12.678662
8.74,12.752973
8.96,12.799308
8.93,12.841554
8.92,12.848987
8.98,12.848958
8.96,12.904016
9.04,12.901004
8.9,12.858214
9.08,12.8409815
8.93,12.879357
8.9,12.822074
9.0,12.80021
8.88,12.74901
8.96,12.743607
9.01,12.830099
8.72,12.935653
8.82,13.0380945
8.47,13.198453
8.86,13.294363
9.26,13.461524
9.68,13.588738
9.95,13.658328
9.94,13.629043
9.8,13.509679
9.75,13.437861
9.6,13.366827
9.55,13.377953
9.4,13.320754
9.31,13.307038
9.64,13.327163
9.5,13.369906
9.58,13.419955
9.78,13.463826
9.67,13.5329275
9.58,13.540614
9.76,13.598603
9.75,13.65751
9.93,13.664023
9.97,13.717021
9.79,13.69148
9.91,13.686528
10.05,13.692311
9.9,13.749879
9.92,13.747421
9.89,13.845809
10.1,13.962956
9.92,14.046897
10.27,14.126937
10.05,14.283074
10.51,14.2082205
10.6,14.291692
10.63,14.253513
10.83,14.285521
10.99,14.343032
10.43,14.375106
10.53,14.416097
10.23,14.428199
10.38,14.447331
10.68,14.480357
10.79,14.626559
11.21,14.836793
10.95,14.902797
10.95,14.517522
10.78,14.299357
11.21,14.168172
11.78,14.173138
11.5,14.015343
9.6,13.703113
9.65,13.336282
9.6,13.319079
9.47,13.308406
9.52,13.22678
9.58,13.171655
9.4,13.103821
9.45,12.98169
9.44,12.915381
9.2,12.820799
9.12,12.790584
9.05,12.728351
