open,prediction
8.35,9.641987
8.43,9.758565
8.96,9.944796
8.95,10.129664
9.67,10.220582
9.69,10.360598
9.89,10.320715
10.03,10.358615
9.95,10.356436
10.15,10.2865
9.8,10.266841
9.83,10.187434
9.83,10.103229
9.89,10.04447
9.56,9.988343
9.65,9.988308
9.6,9.959815
9.4,10.023026
9.28,9.942022
9.35,9.993667
9.57,10.021712
9.52,10.077114
9.55,10.086417
9.6,10.125917
9.72,10.13555
9.67,10.192089
9.65,10.147631
9.67,10.201516
9.74,10.215748
9.7,10.283811
9.7,10.191716
9.69,10.204415
9.8,10.110805
9.98,10.1112585
9.81,10.1092205
9.62,10.102884
9.61,10.066672
9.46,10.107295
9.45,10.041537
9.61,10.052178
9.66,10.023463
9.73,10.014152
9.75,10.0046015
9.58,9.971199
9.56,9.872203
9.38,9.849956
9.53,9.755561
9.44,9.769656
9.45,9.711609
9.19,9.694865
9.28,9.629542
9.25,9.624392
9.17,9.663934
9.19,9.640944
9.15,9.673512
9.06,9.740257
9.23,9.768287
9.27,9.877961
9.19,9.960564
9.34,9.986157
9.57,10.071537
9.64,10.153884
9.7,10.179672
9.85,10.220785
9.78,10.232915
9.95,10.199136
9.94,10.114381
9.91,10.04651
10.03,9.924595
10.0,9.875813
9.65,9.801291
9.47,9.6558075
9.42,9.55594
9.16,9.544423
9.08,9.529549
9.0,9.564575
8.8,9.587969
9.0,9.604266
8.86,9.65055
9.17,9.661676
9.15,9.740989
9.28,9.748804
9.38,9.755424
9.25,9.783325
9.31,9.779562
9.37,9.769224
9.21,9.808185
9.14,9.783196
9.32,9.769512
9.18,9.80122
9.33,9.851569
9.37,9.93873
9.36,10.031193
9.26,10.09312
9.44,10.115937
9.67,10.157628
9.76,10.18463
9.9,10.281801
9.93,10.329507
9.91,10.366287
9.78,10.464498
9.68,10.286851
10.06,10.327213
10.16,10.3711405
9.99,10.479457
9.94,10.525094
10.01,10.622041
9.82,10.6996565
10.04,10.747579
10.32,10.726573
10.35,10.716176
10.57,10.657718
10.56,10.704905
