open,prediction
8.68,10.213497
8.75,10.2038355
8.76,10.256721
8.78,10.3421135
8.9,10.505295
8.87,10.555252
9.12,10.772003
8.99,10.908415
9.1,10.75668
9.19,10.65244
9.27,10.52379
9.36,10.505617
9.26,10.815659
9.17,10.670946
9.19,10.161941
9.24,10.198476
9.33,10.511485
9.25,10.706188
9.14,10.580941
9.12,10.452006
9.23,10.317142
9.27,10.846428
9.16,10.546375
9.03,10.496262
9.26,10.548803
9.31,10.59357
9.27,10.568455
9.29,10.738801
9.23,10.609186
9.2,10.465673
9.38,10.706599
9.44,10.725557
9.49,10.561122
9.44,10.0560055
9.44,9.910893
9.6,9.991642
9.73,9.963717
8.58,9.927199
8.59,9.88126
8.6,9.854001
8.88,9.832378
8.75,9.739661
8.56,9.751297
8.52,9.799431
8.46,9.841125
8.4,9.992627
8.29,10.086697
8.37,10.032597
8.35,9.886964
8.45,9.844606
8.72,9.849149
8.72,9.978876
8.5,10.013849
8.53,10.024883
8.54,10.071544
8.51,10.436314
8.68,10.219474
8.68,10.220314
8.81,10.119145
8.74,10.261987
8.96,10.3339615
8.93,10.252155
8.92,10.420554
8.98,10.277678
8.96,10.530827
9.04,10.385677
8.9,10.062696
9.08,10.13714
8.93,10.282522
8.9,10.126501
9.0,10.145187
8.88,9.857677
8.96,9.989962
9.01,10.3431635
8.72,10.715715
8.82,10.811165
8.47,11.277443
8.86,11.327417
9.26,10.824915
9.68,11.005543
9.95,11.337922
9.94,11.103195
9.8,10.830828
9.75,10.693668
9.6,11.080481
9.55,10.711077
9.4,10.937816
9.31,11.303791
9.64,10.7294235
9.5,10.914791
9.58,10.900753
9.78,11.296022
9.67,11.200198
9.58,11.06151
9.76,11.2159395
9.75,11.517259
9.93,11.274569
9.97,11.452458
9.79,11.374151
9.91,11.3526
10.05,11.508116
9.9,11.2902355
9.92,11.159666
9.89,11.526578
10.1,11.852659
9.92,12.060201
10.27,11.933463
10.05,12.102626
10.51,12.007974
10.6,11.746453
10.63,11.907684
10.83,11.784389
10.99,11.806402
10.43,12.078179
10.53,11.981241
10.23,12.106719
10.38,12.24085
10.68,12.019176
10.79,12.305758
11.21,12.497879
10.95,12.520852
10.95,10.968261
10.78,11.522117
11.21,11.5544405
11.78,11.180952
11.5,11.02991
9.6,10.817995
9.65,10.874473
9.6,10.885808
9.47,11.028754
9.52,10.764509
9.58,10.482456
9.4,10.276682
9.45,10.3102665
9.44,10.046249
9.2,10.033806
9.12,10.051613
9.05,10.132086
8.78,10.094401
8.82,9.988307
8.76,10.003626
8.92,10.177046
8.79,10.074244
8.7,9.99176
8.67,10.11215
8.84,10.1140585
8.96,9.999739
8.82,10.059414
8.76,10.055834
8.85,10.248238
8.83,10.265665
8.7,10.248638
8.73,10.473163
8.9,10.207453
9.07,10.176195
9.29,10.237656
8.89,10.318862
9.0,10.233095
9.23,10.30133
8.94,10.439291
8.92,10.786764
9.16,10.703393
9.1,10.785014
9.19,11.089878
9.5,10.7926445
9.47,11.182737
9.7,10.815287
9.8,10.967018
9.51,10.999472
9.75,10.787359
10.04,10.771193
9.71,10.770086
9.59,10.5991745
9.6,11.05121
9.58,10.726782
9.7,10.045205
9.41,10.193035
9.35,10.279281
9.86,10.163432
8.84,10.085599
8.69,10.240234
8.67,10.021734
8.88,10.616845
8.89,9.89843
8.8,9.979011
8.66,9.970384
8.77,9.88453
8.72,9.746773
