open,prediction
8.68,8.971401
8.75,8.978842
8.76,9.015647
8.78,9.070105
8.9,9.06973
8.87,9.073266
9.12,9.070844
8.99,9.240578
9.1,9.154154
9.19,9.162413
9.27,9.170353
9.36,9.175869
9.26,9.178011
9.17,9.032165
9.19,9.032799
9.24,9.033549
9.33,9.036512
9.25,9.039178
9.14,9.030159
9.12,9.102905
9.23,9.154183
9.27,9.144555
9.16,9.14442
9.03,9.153379
9.26,9.153467
9.31,9.406068
9.27,9.406089
9.29,9.310511
9.23,9.358185
9.2,9.397184
9.38,9.382924
9.44,9.373477
9.49,9.425304
9.44,9.423748
9.44,9.422563
9.6,9.415734
9.73,9.372441
8.58,9.028176
8.59,9.007001
8.6,9.003674
8.88,8.979111
8.75,8.977068
8.56,8.96851
8.52,8.916363
8.46,8.802991
8.4,8.818749
8.29,8.824474
8.37,8.824388
8.35,8.823453
8.45,8.828305
8.72,8.825874
8.72,9.005212
8.5,9.003619
8.53,9.007123
8.54,9.010739
8.51,9.017246
8.68,9.020496
8.68,9.032539
8.81,9.267877
8.74,9.178791
8.96,9.180358
8.93,9.180703
8.92,9.187204
8.98,9.185998
8.96,9.181007
9.04,9.181039
8.9,9.2484255
9.08,9.235034
8.93,9.236937
8.9,9.226475
9.0,9.227917
8.88,9.056868
8.96,9.05685
9.01,9.073385
8.72,9.122977
8.82,9.142138
8.47,9.143716
8.86,9.146102
9.26,9.3850355
9.68,9.529306
9.95,9.618859
9.94,9.623627
9.8,9.523239
9.75,9.530028
9.6,9.530918
9.55,9.514614
9.4,9.530023
9.31,9.534684
9.64,9.533403
9.5,9.658181
9.58,9.66124
9.78,9.726817
9.67,9.726256
9.58,9.724054
9.76,9.723339
9.75,9.899121
9.93,9.899961
9.97,9.904596
9.79,9.904979
9.91,9.938073
10.05,9.979118
9.9,9.979056
9.92,9.977344
9.89,10.020281
10.1,10.04821
9.92,10.143596
10.27,10.167064
10.05,10.271782
10.51,10.315299
10.6,10.48725
10.63,10.329599
10.83,10.329471
10.99,10.32796
10.43,10.328157
10.53,10.342636
10.23,10.340808
10.38,10.343021
10.68,10.479602
10.79,10.756089
11.21,10.836444
10.95,10.932127
10.95,10.064886
10.78,10.064202
11.21,9.999642
11.78,9.937394
11.5,9.938161
9.6,9.92112
9.65,9.639088
9.6,9.638178
9.47,9.622844
9.52,9.560963
9.58,9.426468
9.4,9.414163
9.45,9.269726
9.44,9.25168
9.2,9.152471
9.12,9.127007
9.05,9.112457
8.78,9.107112
8.82,9.098426
8.76,9.102795
8.92,9.113894
8.79,9.115162
8.7,9.111635
8.67,9.150904
8.84,9.14952
8.96,9.110623
8.82,9.108575
8.76,9.103635
8.85,9.118212
8.83,9.158485
8.7,9.157006
8.73,9.1552
8.9,9.191365
9.07,9.322391
9.29,9.289201
8.89,9.287208
9.0,9.267572
9.23,9.269029
8.94,9.285516
8.92,9.298864
9.16,9.318999
9.1,9.465716
9.19,9.462587
9.5,9.522435
9.47,9.741028
9.7,9.805738
9.8,9.848898
9.51,9.72237
9.75,9.692154
10.04,9.691416
9.71,9.5822115
9.59,9.511974
9.6,9.513745
9.58,9.387944
9.7,9.235577
9.41,9.239787
